,Identification,, Pricing ,,Product Attributes,,,,,,,,,Site Status,,Shop Segmentation,Fulfillment,,Sales Operation,,,,,,,,,,,,,
Product Name,Variant Name,SKU, Retail Price , Sale Price ,Length (in),Width (in),Foam Thickness (in),Weight,Straps, Line Length (ft) , Color , Description , Image URL ,Live on site?,Woo ID,Which Shop?,Flat Rate,Oversized?,Opening Stock,Reorder Level,Labor Cost,Inventory Valuation Method,Brand,Is Returnable Item,Variant ID,Variant Type,Taxable,Product Type,Product ID,UPC,EAN,ISBN
Flender,"Flender-27""/Black","FLE-27""-BLA", $ 225.00 , $ 215.00 ,27,7,6,2,,6, Black ," With flat sides, fenders stay where you want them to stay. It’s that simple. The Flender = flat fender. No air pumps. No deflating punctures. Always dependable. Always ready to protect. 

- Comes in 27”, 36” and 48” long
- 6” thick foamcore 
- Durable, UV-resistant outer shell
- Includes SS D-ring & a fender rope (choose your size)
- Ships directly to your door
- Best Use: Boats under 50’ ", Flender 27.jpg ,TRUE,,Fenders,$15.00,No,8,,25,fifo,PilePad,true,2663788000012909042,inventory,true,goods,,,,
Flender,"Flender-36""/Black","FLE-36""-BLA", $ 265.00 , $ 250.00 ,36,7,6,3,,10, Black ," With flat sides, fenders stay where you want them to stay. It’s that simple. The Flender = flat fender. No air pumps. No deflating punctures. Always dependable. Always ready to protect. 

- Comes in 27”, 36” and 48” long
- 6” thick foamcore 
- Durable, UV-resistant outer shell
- Includes SS D-ring & a fender rope (choose your size)
- Ships directly to your door
- Best Use: Boats under 50’ ", Flender 36.jpg ,TRUE,,Fenders,$15.00,No,4,,25,fifo,PilePad,true,2663788000012909046,inventory,true,goods,,,,
Flender,"Flender-27""/Grey","FLE-27""-GRE", $ 225.00 , $ 215.00 ,27,7,6,2,,6, Grey ," With flat sides, fenders stay where you want them to stay. It’s that simple. The Flender = flat fender. No air pumps. No deflating punctures. Always dependable. Always ready to protect. 

- Comes in 27”, 36” and 48” long
- 6” thick foamcore 
- Durable, UV-resistant outer shell
- Includes SS D-ring & a fender rope (choose your size)
- Ships directly to your door
- Best Use: Boats under 50’ ", Flender 27.jpg ,FALSE,,Fenders,$15.00,No,0,,25,fifo,PilePad,true,2663788000012909044,inventory,true,goods,,,,
Flender,"Flender-36""/Grey","FLE-36""-GRE", $ 265.00 , $ 250.00 ,36,7,6,3,,10, Grey ," With flat sides, fenders stay where you want them to stay. It’s that simple. The Flender = flat fender. No air pumps. No deflating punctures. Always dependable. Always ready to protect. 

- Comes in 27”, 36” and 48” long
- 6” thick foamcore 
- Durable, UV-resistant outer shell
- Includes SS D-ring & a fender rope (choose your size)
- Ships directly to your door
- Best Use: Boats under 50’ ", Flender 36.jpg ,FALSE,,Fenders,$15.00,No,0,,25,fifo,PilePad,true,2663788000012909048,inventory,true,goods,,,,
Flender,"Flender-48""/Black","FLE-48""-BLA", $ 365.00 , $ 350.00 ,48,7,6,4,,10, Black ," With flat sides, fenders stay where you want them to stay. It’s that simple. The Flender = flat fender. No air pumps. No deflating punctures. Always dependable. Always ready to protect. 

- Comes in 27”, 36” and 48” long
- 6” thick foamcore 
- Durable, UV-resistant outer shell
- Includes SS D-ring & a fender rope (choose your size)
- Ships directly to your door
- Best Use: Boats under 50’ ", Flender 36.jpg ,TRUE,,Fenders,$20.00,Yes,0,,30,fifo,PilePad,true,2663788000012909050,inventory,true,goods,,,,
Flender,"Flender-48""/Grey","FLE-48""-GRE", $ 365.00 , $ 350.00 ,48,7,6,4,,10, Grey ," With flat sides, fenders stay where you want them to stay. It’s that simple. The Flender = flat fender. No air pumps. No deflating punctures. Always dependable. Always ready to protect. 

- Comes in 27”, 36” and 48” long
- 6” thick foamcore 
- Durable, UV-resistant outer shell
- Includes SS D-ring & a fender rope (choose your size)
- Ships directly to your door
- Best Use: Boats under 50’ ", Flender 36.jpg ,FALSE,,Fenders,$20.00,Yes,0,,30,fifo,PilePad,true,2663788000012909052,inventory,true,goods,,,,
Flender,"Flender-60""/Black","FLE-60""-BLA", $ 465.00 , $ 445.00 ,60,7,6,6,,10, Black ," With flat sides, fenders stay where you want them to stay. It’s that simple. The Flender = flat fender. No air pumps. No deflating punctures. Always dependable. Always ready to protect. 

- Comes in 27”, 36” and 48” long
- 6” thick foamcore 
- Durable, UV-resistant outer shell
- Includes SS D-ring & a fender rope (choose your size)
- Ships directly to your door
- Best Use: Boats under 50’ ", Flender 36.jpg ,FALSE,,Fenders,$25.00,Yes,0,,30,fifo,PilePad,true,2663788000012909054,inventory,true,goods,,,,
Flender,"Flender-60""/Grey","FLE-60""-GRE", $ 465.00 , $ 445.00 ,60,7,6,6,,10, Grey ," With flat sides, fenders stay where you want them to stay. It’s that simple. The Flender = flat fender. No air pumps. No deflating punctures. Always dependable. Always ready to protect. 

- Comes in 27”, 36” and 48” long
- 6” thick foamcore 
- Durable, UV-resistant outer shell
- Includes SS D-ring & a fender rope (choose your size)
- Ships directly to your door
- Best Use: Boats under 50’ ", Flender 36.jpg ,FALSE,,Fenders,$25.00,Yes,0,,30,fifo,PilePad,true,2663788000012909056,inventory,true,goods,,,,
XL Mini,XL Mini-Black/2 ft,PXM-2F-BLA, $ 185.00 ,,24,27,2,3,2,, Black ,, XL Link.jpg ,FALSE,,PilePad,$15.00,No,30,,35,fifo,PilePad,true,2663788000013062960,inventory,true,goods,,,,
